package,source_component,cmake_status,recipe_status,gpvm_status,status_basis,notes
novasoft-authentication,Authentication,cetmodules_configured,present,built,user_reported_success,
novasoft-beamline-reco,BeamlineReco,cetmodules_configured,present,built,user_reported_success,
novasoft-beamline-reco-base,BeamlineRecoBase,cetmodules_configured,present,built,user_reported_success,
novasoft-beamline-sim,BeamlineSim,cetmodules_configured,present,built,user_reported_success,
novasoft-beamline-sim-base,BeamlineSimBase,cetmodules_configured,present,built,user_reported_success,
novasoft-beamline-utils,BeamlineUtils,cetmodules_configured,present,built,user_reported_success,Xerces namespace made version-independent
novasoft-brem-shower-filter,BremShowerFilter,cetmodules_configured,present,built,user_reported_success,
novasoft-cal-hit,CalHit,cetmodules_configured,present,built,user_reported_success,
novasoft-calibration-data-products,CalibrationDataProducts,cetmodules_configured,present,built,user_reported_success,Installed exports consumed successfully by standalone Calibration
novasoft-calibration-func,Calibration/func,cetmodules_configured,present,built,user_reported_success,Installed exports consumed successfully by standalone Calibration
novasoft-calibration-utils,CalibrationUtils,cetmodules_configured,present,built,user_reported_success,Installed exports consumed successfully by standalone Calibration
novasoft-calibrator,Calibrator,cetmodules_configured,present,built,user_reported_success,
novasoft-celestial-locator,CelestialLocator,cetmodules_configured,present,built,user_reported_success,
novasoft-channel-info,ChannelInfo,cetmodules_configured,present,built,user_reported_success,
novasoft-cluster-maker-ss,ClusterMakerSS,cetmodules_configured,present,built,user_reported_success,
novasoft-cmap,CMap,cetmodules_configured,present,built,user_reported_success,
novasoft-cosmic-exposure-info,CosmicExposureInfo,cetmodules_configured,present,built,user_reported_success,
novasoft-cosmic-ray-vertex,CosmicRayVertex,cetmodules_configured,present,built,user_reported_success,
novasoft-daq2-raw-digit,DAQ2RawDigit,cetmodules_configured,present,built,user_reported_success,
novasoft-database,Database,cetmodules_configured,present,built,user_reported_success,Installed exports consumed successfully by standalone Calibration
novasoft-dif-shower-finder,DiFShowerFinder,cetmodules_configured,present,built,user_reported_success,
novasoft-dq-spill-flags,DQSpillFlags,cetmodules_configured,present,built,user_reported_success,
novasoft-eliminate-beam-spills,EliminateBeamSpills,cetmodules_configured,present,built,user_reported_success,
novasoft-event-summary,EventSummary,cetmodules_configured,present,built,user_reported_success,
novasoft-filesystem,Filesystem,cetmodules_configured,present,built,user_reported_success,
novasoft-filter,Filter,cetmodules_configured,present,built,user_reported_success,
novasoft-geometry,Geometry,cetmodules_configured,present,built,user_reported_success,
novasoft-geometry-objects,GeometryObjects,cetmodules_configured,present,built,user_reported_success,
novasoft-hough-transform,HoughTransform,cetmodules_configured,present,built,user_reported_success,
novasoft-live-geometry,Geometry,cetmodules_configured,present,built,user_reported_success,Uses the live-geometry target in the Geometry component
novasoft-mccheater,MCCheater,cetmodules_configured,present,built,user_reported_success,
novasoft-mccheater-core,MCCheaterCore,cetmodules_configured,present,built,user_reported_success,
novasoft-metadata,Metadata,cetmodules_configured,present,built,user_reported_success,
novasoft-mock-data-daq,MockDataDAQ,cetmodules_configured,present,built,user_reported_success,
novasoft-numu-energy-func,NumuEnergy/func,cetmodules_configured,present,built,user_reported_success,
novasoft-photon-transport,PhotonTransport,cetmodules_configured,present,built,user_reported_success,
novasoft-product-morgue,ProductMorgue,cetmodules_configured,present,built,user_reported_success,Header/config-only package; legacy library and dictionary remain disabled
novasoft-raw-data,RawData,cetmodules_configured,present,built,user_reported_success,
novasoft-reco-base,RecoBase,cetmodules_configured,present,built,user_reported_success,Installed exports consumed successfully by standalone Calibration
novasoft-reco-base-hit,RecoBaseHit,cetmodules_configured,present,built,user_reported_success,
novasoft-run-history,RunHistory,cetmodules_configured,present,built,user_reported_success,
novasoft-simulation,Simulation,cetmodules_configured,present,built,user_reported_success,
novasoft-standard-record,StandardRecord,cetmodules_configured,present,built,user_reported_success,GENIE aggregate target export fix added after downstream MCReweight failure
novasoft-summary-data,SummaryData,cetmodules_configured,present,built,user_reported_success,
novasoft-supernova-utilities,SupernovaUtilities,cetmodules_configured,present,built,user_reported_success,
novasoft-tdslicer,TDSlicer,cetmodules_configured,present,built,user_reported_success,
novasoft-tensorflow-products,TensorFlowProducts,cetmodules_configured,present,built,user_reported_success,
novasoft-test-beam,TestBeam,cetmodules_configured,present,built,user_reported_success,
novasoft-test-beam-reco,TestBeamReco,cetmodules_configured,present,built,user_reported_success,
novasoft-test-beam-sim,TestBeamSim,cetmodules_configured,present,built,user_reported_success,
novasoft-test-beam-utils,TestBeamUtils,cetmodules_configured,present,built,user_reported_success,
novasoft-trigger-monitoring,TriggerMonitoring,cetmodules_configured,present,built,user_reported_success,Detector_service now exports NOVACMAKE
novasoft-utilities,Utilities,cetmodules_configured,present,built,user_reported_success,Installed exports consumed successfully by standalone Calibration
novasoft-utilities-func,Utilities/func,cetmodules_configured,present,built,user_reported_success,
